,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
0,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 00:00,2024,9,1,00:00,13.3,,7.4,,67.0,,0.0,,13.0,,9.0,,16.1,,98.77,,,,,,
1,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 01:00,2024,9,1,01:00,13.8,,9.3,,74.0,,0.0,,13.0,,9.0,,16.1,,98.71,,,,,,
2,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 02:00,2024,9,1,02:00,13.4,,7.7,,68.0,,0.0,,13.0,,5.0,,16.1,,98.65,,,,,,
3,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 03:00,2024,9,1,03:00,13.7,,7.9,,68.0,,0.0,,15.0,,15.0,,16.1,,98.55,,,,,,
4,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 04:00,2024,9,1,04:00,13.8,,8.1,,68.0,,0.0,,17.0,,15.0,,16.1,,98.49,,,,,,
5,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 05:00,2024,9,1,05:00,14.0,,7.8,,66.0,,0.0,,19.0,,13.0,,16.1,,98.4,,,,,,
6,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 06:00,2024,9,1,06:00,13.8,,7.8,,67.0,,0.0,,16.0,,8.0,,16.1,,98.34,,,,,,
7,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 07:00,2024,9,1,07:00,14.2,,8.4,,68.0,,0.0,,17.0,,8.0,,16.1,,98.27,,,,,,
8,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 08:00,2024,9,1,08:00,15.6,,9.4,,66.0,,0.0,,,M,4.0,,6.4,,98.22,,,,,,Haze
9,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 09:00,2024,9,1,09:00,15.9,,10.1,,68.0,,0.0,,15.0,,5.0,,16.1,,98.13,,,,,,
10,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 10:00,2024,9,1,10:00,16.8,,11.5,,71.0,,0.0,,20.0,,11.0,,16.1,,98.1,,,,,,
11,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 11:00,2024,9,1,11:00,19.4,,13.2,,67.0,,0.0,,,M,5.0,,16.1,,98.03,,,,,,
12,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 12:00,2024,9,1,12:00,21.7,,14.2,,62.0,,0.0,,,,0.0,,16.1,,97.99,,25.0,,,,
13,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 13:00,2024,9,1,13:00,23.6,,14.6,,56.0,,0.0,,29.0,,9.0,,16.1,,97.94,,27.0,,,,
14,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 14:00,2024,9,1,14:00,25.1,,14.8,,52.0,,0.0,,28.0,,9.0,,16.1,,97.89,,29.0,,,,
15,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 15:00,2024,9,1,15:00,25.7,,15.3,,52.0,,0.0,,26.0,,13.0,,16.1,,97.87,,30.0,,,,
16,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 16:00,2024,9,1,16:00,25.8,,15.5,,52.0,,0.0,,27.0,,11.0,,16.1,,97.85,,30.0,,,,
17,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 17:00,2024,9,1,17:00,25.5,,14.3,,50.0,,0.0,,28.0,,13.0,,16.1,,97.83,,29.0,,,,
18,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 18:00,2024,9,1,18:00,24.9,,15.2,,54.0,,0.0,,,M,4.0,,16.1,,97.81,,29.0,,,,
19,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 19:00,2024,9,1,19:00,21.5,,15.2,,67.0,,0.0,,14.0,,9.0,,16.1,,97.77,,26.0,,,,
20,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 20:00,2024,9,1,20:00,17.6,,13.6,,77.0,,0.0,,10.0,,9.0,,16.1,,97.81,,,,,,
21,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 21:00,2024,9,1,21:00,15.4,,12.6,,83.0,,0.0,,7.0,,5.0,,16.1,,97.81,,,,,,
22,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 22:00,2024,9,1,22:00,15.6,,13.1,,85.0,,0.0,,7.0,,8.0,,16.1,,97.81,,,,,,
23,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 23:00,2024,9,1,23:00,14.4,,13.1,,92.0,,0.0,,9.0,,4.0,,16.1,,97.82,,,,,,
24,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 00:00,2024,9,2,00:00,13.6,,12.5,,93.0,,0.0,,6.0,,8.0,,16.1,,97.83,,,,,,
25,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 01:00,2024,9,2,01:00,13.3,,12.4,,94.0,,0.0,,5.0,,8.0,,16.1,,97.84,,,,,,
26,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 02:00,2024,9,2,02:00,13.0,,12.4,,96.0,,0.0,,6.0,,5.0,,16.1,,97.82,,,,,,
27,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 03:00,2024,9,2,03:00,12.0,,11.4,,96.0,,0.0,,7.0,,5.0,,16.1,,97.84,,,,,,
28,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 04:00,2024,9,2,04:00,12.3,,11.7,,96.0,,0.0,,6.0,,8.0,,16.1,,97.82,,,,,,
29,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 05:00,2024,9,2,05:00,13.2,,12.7,,97.0,,0.0,,8.0,,8.0,,16.1,,97.81,,,,,,
30,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 06:00,2024,9,2,06:00,14.3,,13.8,,97.0,,0.0,,7.0,,5.0,,16.1,,97.82,,,,,,
31,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 07:00,2024,9,2,07:00,16.1,,15.5,,96.0,,0.0,,11.0,,5.0,,16.1,,97.81,,,,,,
32,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 08:00,2024,9,2,08:00,16.8,,14.6,,87.0,,0.0,,12.0,,8.0,,16.1,,97.78,,,,,,
33,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 09:00,2024,9,2,09:00,19.6,,14.9,,74.0,,0.0,,10.0,,8.0,,16.1,,97.75,,,,,,
34,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 10:00,2024,9,2,10:00,23.0,,14.3,,58.0,,0.0,,,M,4.0,,16.1,,97.73,,27.0,,,,
35,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 11:00,2024,9,2,11:00,23.5,,15.3,,60.0,,0.0,,18.0,,9.0,,16.1,,97.68,,28.0,,,,
36,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 12:00,2024,9,2,12:00,25.0,,14.9,,53.0,,0.0,,19.0,,15.0,,16.1,,97.64,,29.0,,,,
37,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 13:00,2024,9,2,13:00,27.1,,16.0,,50.0,,0.0,,18.0,,9.0,,16.1,,97.6,,32.0,,,,
38,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 14:00,2024,9,2,14:00,28.5,,13.6,,40.0,,0.0,,25.0,,17.0,,16.1,,97.59,,32.0,,,,
39,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 15:00,2024,9,2,15:00,27.5,,13.0,,40.0,,0.0,,27.0,,21.0,,16.1,,97.59,,30.0,,,,
40,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 16:00,2024,9,2,16:00,27.1,,13.8,,43.0,,0.0,,27.0,,18.0,,16.1,,97.55,,30.0,,,,
41,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 17:00,2024,9,2,17:00,25.9,,14.4,,48.0,,0.0,,28.0,,15.0,,16.1,,97.58,,30.0,,,,
42,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 18:00,2024,9,2,18:00,18.6,,12.2,,66.0,,0.2,,33.0,,22.0,,16.1,,97.8,,,,,,"Thunderstorms,Moderate Rain"
43,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 19:00,2024,9,2,19:00,17.0,,11.4,,69.0,,0.5,,35.0,,15.0,,16.1,,97.93,,,,,,
44,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 20:00,2024,9,2,20:00,15.1,,11.0,,76.0,,0.0,,34.0,,18.0,,16.1,,98.05,,,,,,
45,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 21:00,2024,9,2,21:00,14.5,,11.3,,81.0,,0.0,,34.0,,13.0,,16.1,,98.14,,,,,,
46,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 22:00,2024,9,2,22:00,14.1,,10.6,,79.0,,0.0,,32.0,,21.0,,16.1,,98.22,,,,,,
47,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-02 23:00,2024,9,2,23:00,13.5,,10.7,,83.0,,0.0,,31.0,,11.0,,16.1,,98.3,,,,,,
48,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 00:00,2024,9,3,00:00,12.9,,10.5,,85.0,,0.0,,29.0,,9.0,,16.1,,98.33,,,,,,
49,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 01:00,2024,9,3,01:00,13.1,,10.7,,85.0,,0.0,,30.0,,9.0,,16.1,,98.36,,,,,,
50,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 02:00,2024,9,3,02:00,13.5,,10.9,,84.0,,0.0,,30.0,,11.0,,16.1,,98.41,,,,,,
51,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 03:00,2024,9,3,03:00,13.3,,10.7,,84.0,,0.0,,30.0,,13.0,,16.1,,98.45,,,,,,
52,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 04:00,2024,9,3,04:00,13.1,,10.7,,85.0,,0.0,,31.0,,13.0,,16.1,,98.47,,,,,,
53,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 05:00,2024,9,3,05:00,12.9,,10.1,,83.0,,0.0,,31.0,,15.0,,16.1,,98.52,,,,,,
54,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 06:00,2024,9,3,06:00,12.6,,9.4,,81.0,,0.0,,31.0,,13.0,,16.1,,98.57,,,,,,
55,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 07:00,2024,9,3,07:00,12.4,,8.7,,78.0,,0.0,,32.0,,13.0,,16.1,,98.61,,,,,,
56,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 08:00,2024,9,3,08:00,12.2,,8.1,,76.0,,0.0,,35.0,,13.0,,16.1,,98.65,,,,,,
57,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 09:00,2024,9,3,09:00,11.8,,7.9,,77.0,,0.0,,33.0,,13.0,,16.1,,98.68,,,,,,
58,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 10:00,2024,9,3,10:00,12.0,,8.0,,76.0,,0.0,,31.0,,11.0,,16.1,,98.72,,,,,,
59,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 11:00,2024,9,3,11:00,12.6,,8.3,,75.0,,0.0,,27.0,,13.0,,16.1,,98.73,,,,,,
60,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 12:00,2024,9,3,12:00,12.6,,7.9,,73.0,,0.0,,31.0,,13.0,,16.1,,98.74,,,,,,
61,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 13:00,2024,9,3,13:00,12.5,,7.6,,72.0,,0.0,,31.0,,17.0,,16.1,,98.75,,,,,,
62,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 14:00,2024,9,3,14:00,13.1,,7.5,,69.0,,0.0,,30.0,,15.0,,16.1,,98.75,,,,,,
63,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 15:00,2024,9,3,15:00,12.9,,7.0,,67.0,,0.0,,31.0,,13.0,,16.1,,98.77,,,,,,
64,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 16:00,2024,9,3,16:00,13.1,,6.7,,65.0,,0.0,,28.0,,15.0,,16.1,,98.78,,,,,,
65,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 17:00,2024,9,3,17:00,12.6,,6.8,,68.0,,0.0,,33.0,,11.0,,16.1,,98.8,,,,,,
66,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 18:00,2024,9,3,18:00,12.4,,6.7,,68.0,,0.0,,31.0,,9.0,,16.1,,98.81,,,,,,
67,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 19:00,2024,9,3,19:00,11.9,,7.0,,72.0,,0.0,,30.0,,5.0,,16.1,,98.83,,,,,,
68,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 20:00,2024,9,3,20:00,11.6,,6.4,,70.0,,0.0,,31.0,,5.0,,16.1,,98.87,,,,,,
69,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 21:00,2024,9,3,21:00,10.8,,6.6,,75.0,,0.0,,29.0,,8.0,,16.1,,98.88,,,,,,
70,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 22:00,2024,9,3,22:00,7.9,,6.5,,91.0,,0.0,,26.0,,5.0,,16.1,,98.95,,,,,,
71,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-03 23:00,2024,9,3,23:00,6.5,,5.6,,94.0,,0.0,,,,0.0,,16.1,,98.97,,,,,,
72,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 00:00,2024,9,4,00:00,4.8,,4.2,,96.0,,0.0,,27.0,,4.0,,16.1,,99.03,,,,,,
73,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 01:00,2024,9,4,01:00,3.6,,3.1,,97.0,,0.0,,28.0,,5.0,,16.1,,99.05,,,,,,
74,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 02:00,2024,9,4,02:00,2.6,,2.2,,97.0,,0.0,,25.0,,5.0,,16.1,,99.07,,,,,,
75,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 03:00,2024,9,4,03:00,1.9,,1.5,,97.0,,0.0,,28.0,,5.0,,16.1,,99.12,,,,,,
76,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 04:00,2024,9,4,04:00,0.9,,0.5,,97.0,,0.0,,,M,4.0,,16.1,,99.15,,,,,,
77,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 05:00,2024,9,4,05:00,0.5,,0.1,,97.0,,0.0,,,,0.0,,16.1,,99.19,,,,,,
78,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 06:00,2024,9,4,06:00,2.8,,2.5,,98.0,,0.0,,,,0.0,,16.1,,99.23,,,,,,
79,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 07:00,2024,9,4,07:00,5.6,,5.2,,97.0,,0.0,,30.0,,4.0,,16.1,,99.3,,,,,,
80,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 08:00,2024,9,4,08:00,8.2,,7.5,,95.0,,0.0,,,M,4.0,,16.1,,99.31,,,,,,Rain
81,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 09:00,2024,9,4,09:00,10.6,,9.4,,92.0,,0.2,,24.0,,5.0,,16.1,,99.35,,,,,,
82,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 10:00,2024,9,4,10:00,13.6,,10.3,,80.0,,0.0,,28.0,,15.0,,16.1,,99.39,,,,,,
83,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 11:00,2024,9,4,11:00,13.3,,9.8,,79.0,,0.0,,27.0,,17.0,,16.1,,99.41,,,,,,
84,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 12:00,2024,9,4,12:00,14.2,,10.0,,76.0,,0.0,,26.0,,13.0,,16.1,,99.42,,,,,,
85,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 13:00,2024,9,4,13:00,15.4,,9.7,,68.0,,0.0,,26.0,,18.0,,16.1,,99.42,,,,,,
86,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 14:00,2024,9,4,14:00,16.4,,9.6,,64.0,,0.0,,26.0,,22.0,,16.1,,99.42,,,,,,
87,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 15:00,2024,9,4,15:00,17.7,,9.6,,59.0,,0.0,,26.0,,18.0,,16.1,,99.4,,,,,,
88,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 16:00,2024,9,4,16:00,17.8,,9.1,,57.0,,0.0,,27.0,,21.0,,16.1,,99.37,,,,,,
89,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 17:00,2024,9,4,17:00,17.2,,9.3,,59.0,,0.0,,25.0,,21.0,,16.1,,99.34,,,,,,
90,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 18:00,2024,9,4,18:00,15.6,,9.3,,66.0,,0.0,,26.0,,17.0,,16.1,,99.34,,,,,,
91,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 19:00,2024,9,4,19:00,14.0,,10.1,,77.0,,0.0,,27.0,,5.0,,16.1,,99.36,,,,,,
92,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 20:00,2024,9,4,20:00,12.4,,9.8,,84.0,,0.0,,26.0,,8.0,,16.1,,99.39,,,,,,
93,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 21:00,2024,9,4,21:00,13.4,,9.7,,78.0,,0.0,,36.0,,8.0,,16.1,,99.49,,,,,,
94,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 22:00,2024,9,4,22:00,11.7,,8.2,,79.0,,0.0,,1.0,,15.0,,16.1,,99.55,,,,,,Rain
95,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-04 23:00,2024,9,4,23:00,10.4,,8.7,,89.0,,0.2,,26.0,,5.0,,16.1,,99.52,,,,,,
96,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 00:00,2024,9,5,00:00,8.7,,7.2,,90.0,,0.0,,,,0.0,,16.1,,99.57,,,,,,
97,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 01:00,2024,9,5,01:00,6.0,,5.6,,97.0,,0.0,,,M,4.0,,16.1,,99.61,,,,,,
98,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 02:00,2024,9,5,02:00,6.6,,6.3,,98.0,,0.0,,5.0,,9.0,,9.7,,99.63,,,,,,Fog
99,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 03:00,2024,9,5,03:00,4.7,,4.4,,98.0,,0.0,,27.0,,5.0,,2.4,,99.67,,,,,,Fog
100,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 04:00,2024,9,5,04:00,3.7,,3.4,,98.0,,0.0,,25.0,,5.0,,0.8,,99.72,,,,,,Fog
101,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 05:00,2024,9,5,05:00,2.9,,2.6,,98.0,,0.0,,,,0.0,,4.8,,99.72,,,,,,Fog
102,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 06:00,2024,9,5,06:00,3.7,,3.6,,99.0,,0.0,,7.0,,4.0,,0.2,,99.73,,,,,,Fog
103,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 07:00,2024,9,5,07:00,5.1,,5.0,,99.0,,0.0,,,,0.0,,0.6,,99.78,,,,,,Fog
104,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 08:00,2024,9,5,08:00,10.3,,9.4,,94.0,,0.0,,7.0,,4.0,,16.1,,99.77,,,,,,
105,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 09:00,2024,9,5,09:00,13.2,,9.0,,76.0,,0.0,,23.0,,5.0,,16.1,,99.76,,,,,,
106,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 10:00,2024,9,5,10:00,13.8,,9.2,,73.0,,0.0,,21.0,,13.0,,16.1,,99.77,,,,,,
107,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 11:00,2024,9,5,11:00,15.1,,8.5,,64.0,,0.0,,16.0,,11.0,,16.1,,99.75,,,,,,
108,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 12:00,2024,9,5,12:00,16.4,,9.2,,62.0,,0.0,,14.0,,13.0,,16.1,,99.68,,,,,,
109,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 13:00,2024,9,5,13:00,17.6,,7.2,,50.0,,0.0,,14.0,,15.0,,16.1,,99.6,,,,,,
110,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 14:00,2024,9,5,14:00,18.1,,7.6,,50.0,,0.0,,17.0,,15.0,,16.1,,99.56,,,,,,
111,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 15:00,2024,9,5,15:00,19.5,,7.6,,46.0,,0.0,,14.0,,15.0,,16.1,,99.46,,,,,,
112,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 16:00,2024,9,5,16:00,18.7,,8.0,,50.0,,0.0,,15.0,,11.0,,16.1,,99.38,,,,,,
113,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 17:00,2024,9,5,17:00,18.0,,8.1,,52.0,,0.0,,14.0,,13.0,,16.1,,99.26,,,,,,
114,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 18:00,2024,9,5,18:00,17.5,,8.5,,55.0,,0.0,,14.0,,13.0,,16.1,,99.15,,,,,,
115,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 19:00,2024,9,5,19:00,17.2,,7.4,,52.0,,0.0,,15.0,,13.0,,16.1,,99.06,,,,,,
116,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-05 20:00,2024,9,5,20:00,17.1,,7.0,,51.0,,0.0,,16.0,,15.0,,16.1,,99.0,,,,,,
